Time,Event,Seconds
1904-01-06 04:26:11.540256,Check halt probability,447971.540256
1904-01-06 04:26:11.540256,Halt delay: 0s,447971.540256
1904-01-06 04:26:11.540256,Apply halt: 2s,447971.540256
1904-01-06 04:26:13.547680,Wait for run threshold...,447973.54768
1904-01-06 04:27:55.094304,Check halt probability,448075.094304
1904-01-06 04:27:55.094304,No halt,448075.094304
1904-01-06 04:27:55.094304,Wait for run threshold...,448075.094304
1904-01-06 04:27:57.760864,Check halt probability,448077.760864
1904-01-06 04:27:57.760864,No halt,448077.760864
1904-01-06 04:27:57.760864,Wait for run threshold...,448077.760864
1904-01-06 04:28:00.627456,Check halt probability,448080.627456
1904-01-06 04:28:00.627456,No halt,448080.627456
1904-01-06 04:28:00.627456,Wait for run threshold...,448080.627456
1904-01-06 04:28:02.950240,Check halt probability,448082.95024
1904-01-06 04:28:02.950240,Halt delay: 0s,448082.95024
1904-01-06 04:28:02.950240,Apply halt: 2s,448082.95024
1904-01-06 04:28:04.950240,Wait for run threshold...,448084.95024
1904-01-06 04:28:34.026336,Check halt probability,448114.026336
1904-01-06 04:28:34.026336,Halt delay: 0s,448114.026336
1904-01-06 04:28:34.026336,Apply halt: 2s,448114.026336
1904-01-06 04:28:36.060256,Wait for run threshold...,448116.060256
1904-01-06 04:28:45.975936,Check halt probability,448125.975936
1904-01-06 04:28:45.975936,No halt,448125.975936
1904-01-06 04:28:45.975936,Wait for run threshold...,448125.975936
1904-01-06 04:29:22.841376,Check halt probability,448162.841376
1904-01-06 04:29:22.841376,Halt delay: 0s,448162.841376
1904-01-06 04:29:22.841376,Apply halt: 2s,448162.841376
1904-01-06 04:29:24.850240,Wait for run threshold...,448164.85024
1904-01-06 04:29:36.940896,Check halt probability,448176.940896
1904-01-06 04:29:36.940896,No halt,448176.940896
1904-01-06 04:29:36.940896,Wait for run threshold...,448176.940896
1904-01-06 04:29:50.557120,Check halt probability,448190.55712
1904-01-06 04:29:50.557120,No halt,448190.55712
1904-01-06 04:29:50.557120,Wait for run threshold...,448190.55712
1904-01-06 04:30:28.820320,Block timer elapsed,448228.82032
